ExampleSat.UTCGregorian    ExampleSat.X              ExampleSat.Y              ExampleSat.Z              ExampleSat.VX             ExampleSat.VY             ExampleSat.VZ             
13 May 2002 10:41:55.696   4593.898410436531         1557.077289218228         -5309.269370087919        -4.527566437255492        -3.305085479266574        -4.890666859073842        
13 May 2002 10:43:35.696   4117.412958317565         1218.84111197452          -5769.035328740497        -4.993594924096255        -3.453589489400432        -4.29649516496353         
13 May 2002 10:45:15.696   3596.967444749954         867.5915691882055         -6167.051181664744        -5.405998061052209        -3.565128941646849        -3.656769969440035        
13 May 2002 10:46:55.696   3038.144206224471         507.0850182278679         -6499.100777871422        -5.76047943042223         -3.638571912827659        -2.978345891304544        
13 May 2002 10:48:35.696   2446.924572500461         141.1710379125933         -6761.67289190141         -6.053361613388972        -3.673187051714934        -2.268454612875111        
13 May 2002 10:50:15.696   1829.62541986112          -226.2478195126145        -6951.995207930941        -6.281616115276528        -3.668646791722081        -1.534630097731028        
13 May 2002 10:51:55.696   1192.833039492315         -591.2564275476801        -7068.060803737781        -6.442887157805338        -3.625027185501083        -0.7846334533394593       
13 May 2002 10:53:35.696   543.3349080853704         -949.9673153009512        -7108.647117569603        -6.535509821280385        -3.542804683185658        -0.02637779016222606      
13 May 2002 10:55:15.696   -111.9500936196994        -1298.560433927584        -7073.327404089669        -6.558522946591214        -3.422850100013674        0.7321467802013609        
13 May 2002 10:56:55.696   -766.0425049586102        -1633.322186334651        -6962.474692703084        -6.511677078469773        -3.266419921932471        1.482948023563933         
13 May 2002 10:58:35.696   -1411.973662220461        -1950.683456220384        -6777.258255414419        -6.395437561563621        -3.075144991215541        2.218106437872809         
13 May 2002 11:00:15.696   -2042.857138345066        -2247.256370735745        -6519.632581769222        -6.210982713255225        -2.851016512279791        2.929850185093491         
13 May 2002 11:01:55.696   -2651.959742012206        -2519.869522439205        -6192.318851460185        -5.960196813903154        -2.596369231478533        3.610630127839032         
13 May 2002 11:03:35.696   -3232.771535811323        -2765.601357101193        -5798.778900639833        -5.645657500222065        -2.313861587583466        4.253194844460239         
13 May 2002 11:05:15.696   -3779.074288452186        -2981.811413517812        -5343.181700461385        -5.270617040453878        -2.006452607611624        4.850665290423574         
13 May 2002 11:06:55.696   -4285.007721096345        -3166.169079602575        -4830.362411816374        -4.838976927230138        -1.677375342438869        5.396608527703608         
13 May 2002 11:08:35.696   -4745.132853503723        -3316.67951167001         -4265.774150161917        -4.355255255079059        -1.33010669831566         5.885109686860654         
13 May 2002 11:10:15.696   -5154.491706246654        -3431.706353874862        -3655.432691347504        -3.824546459787031        -0.9683336228090137       6.310841081880055         
13 May 2002 11:11:55.696   -5508.662584228729        -3509.990897960191        -3005.854464472634        -3.252473176844528        -0.5959157360389801       6.669127198347602         
13 May 2002 11:13:35.696   -5803.810151735692        -3550.667339257359        -2323.988315412042        -2.645130222866606        -0.2168446563552063       6.956004134415316         
13 May 2002 11:15:15.696   -6036.729525081818        -3553.273818395559        -1617.141668041194        -2.009020991903617        0.1647995648003164        7.168272019487082         
13 May 2002 11:16:55.696   -6204.883652883059        -3517.75898737705         -892.9018560719741        -1.350986870426081        0.5448943214168285        7.303538971941334         
13 May 2002 11:18:35.696   -6306.433328893258        -3444.483903620555        -159.0535384122211        -0.6781305869185287       0.9193219212632333        7.360255289467735         
13 May 2002 11:20:15.696   -6340.25928888892         -3334.219133574721        576.5067725406462         0.002265308271630252      1.284017807962061         7.337736789824537         
13 May 2002 11:21:55.696   -6305.975973217292        -3188.1370350594          1305.857942308758         0.682823401220494         1.635018624801529         7.236176518392457         
13 May 2002 11:23:35.696   -6203.936688867209        -3007.799280275892        2021.142018911452         1.356158218503134         1.968509183209141         7.056644395123782         
13 May 2002 11:25:15.696   -6035.230068351276        -2795.139774222712        2714.651399658229         2.014963205077636         2.280867422634111         6.801074758270808         
13 May 2002 11:26:55.696   -5801.667890658317        -2552.44321205373         3378.914161876432         2.652096212109197         2.568706520315329         6.472242149178915         
13 May 2002 11:28:35.696   -5505.764491306907        -2282.319596851144        4006.776415066876         3.260661931942564         2.828913426372854         6.073726039870754         
13 May 2002 11:30:15.696   -5150.708137740879        -1987.675105858003        4591.480613979217         3.834089889943878         3.058683246226782         5.609865510376174         
13 May 2002 11:31:55.696   -4740.32487400537         -1671.679742399805        5126.73888702919          4.36620684297337          3.255549062162789         5.085705111454603         
13 May 2002 11:33:35.696   -4279.035440144544        -1337.732242873294        5606.800565794307         4.851302712476218         3.417406960838549         4.506933287917215         
13 May 2002 11:35:15.696   -3771.805946043003        -989.4227241778284        6026.513240755688         5.284189472580186         3.542536200063632         3.879814784811956         
13 May 2002 11:36:55.696   -3224.093020945598        -630.4935544476156        6381.376812288934         5.660252700345186         3.629614595014066         3.211118410214392         
13 May 2002 11:38:35.696   -2641.784178637269        -264.7989175881121        6667.590135487744         5.975495742653803         3.677729316702659         2.508041406286609         
13 May 2002 11:40:15.696   -2031.134130901512        103.736482436734          6882.089975847648         6.226576652581334         3.686383370463814         1.778131494034485         
13 May 2002 11:41:55.696   -1398.697759822162        471.1591601305484         7022.582088335277         6.410838176846112         3.655498053733637         1.029207438172009         
13 May 2002 11:43:35.696   -751.2604267096029        833.5286428706005         7087.564305955372         6.526331132070595         3.585411682925773         0.2692787500154379        
13 May 2002 11:45:15.696   -95.76626345309175        1186.958960337734         7076.341574643619         6.571831490900705         3.476874834233005         -0.4935350594299829       
13 May 2002 11:46:55.696   560.7549402047883         1527.659491248907         6989.032904138073         6.546851421140404         3.331042271609234         -1.251085432148791        
13 May 2002 11:48:35.696   1211.26165539812          1851.974841032668         6826.570222276533         6.451644394542966         3.149461649541851         -1.995275775227089        
13 May 2002 11:50:15.696   1848.774746880377         2156.423429463688         6590.689132671727         6.287204331193859         2.934058991462042         -2.718142415019754        
13 May 2002 11:51:55.696   2466.451216672852         2437.734463366387         6283.911588461998         6.05525859161409          2.687120870086903         -3.411935325359515        
13 May 2002 11:53:35.696   3057.656927671608         2692.882958285599         5909.520517690538         5.758254497828388         2.411273166833346         -4.069198336832275        
